Change history report
9 July 2024 - 4 August 2024
Date & time,User,Campaign,Ad group,Changes
"1 Aug 2024, 18:24:38",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"1 country removed
  Country: Malta changed was included
  Malta"
"1 Aug 2024, 18:24:38",neilsjmcmahon@gmail.com,3.PMax,,"1 country removed
  Country: Malta changed was included
  Malta"
"1 Aug 2024, 18:23:57",neilsjmcmahon@gmail.com,1.Search-Spain_ES,,"1 country removed
  Country: Panama changed was included
  Panama"
"1 Aug 2024, 18:23:57",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"4 countries removed
  Country: Norway changed was included
  Norway
  Country: Panama changed was included
  Panama
  Country: Paraguay changed was included
  Paraguay
  Country: Peru changed was included
  Peru"
"1 Aug 2024, 18:23:57",neilsjmcmahon@gmail.com,3.PMax,,"4 countries removed
  Country: Norway changed was included
  Norway
  Country: Panama changed was included
  Panama
  Country: Paraguay changed was included
  Paraguay
  Country: Peru changed was included
  Peru"
"1 Aug 2024, 18:23:33",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"1 country removed
  Country: Netherlands changed was included
  Netherlands"
"1 Aug 2024, 18:23:33",neilsjmcmahon@gmail.com,3.PMax,,"1 country removed
  Country: Netherlands changed was included
  Netherlands"
"1 Aug 2024, 18:23:08",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"4 countries removed
  Country: Ecuador changed was included
  Ecuador
  Country: El Salvador changed was included
  El Salvador
  Country: Guatemala changed was included
  Guatemala
  Country: Honduras changed was included
  Honduras"
"1 Aug 2024, 18:23:08",neilsjmcmahon@gmail.com,3.PMax,,"4 countries removed
  Country: Ecuador changed was included
  Ecuador
  Country: El Salvador changed was included
  El Salvador
  Country: Guatemala changed was included
  Guatemala
  Country: Honduras changed was included
  Honduras"
"1 Aug 2024, 18:22:42",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"1 country removed
  Country: Denmark changed was included
  Denmark"
"1 Aug 2024, 18:22:42",neilsjmcmahon@gmail.com,3.PMax,,"1 country removed
  Country: Denmark changed was included
  Denmark"
"1 Aug 2024, 18:22:24",neilsjmcmahon@gmail.com,1.Search-Spain_ES,,"1 country removed
  Country: Costa Rica changed was included
  Costa Rica"
"1 Aug 2024, 18:22:24",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"1 country removed
  Country: Costa Rica changed was included
  Costa Rica"
"1 Aug 2024, 18:22:24",neilsjmcmahon@gmail.com,3.PMax,,"1 country removed
  Country: Costa Rica changed was included
  Costa Rica"
"22 Jul 2024, 13:31:54",neilsjmcmahon@gmail.com,,,"Sent invitation to access account with ‘Read only’ to ‘ciaranbromleybusiness@gmail.com’
  "
