CAMPAIGN_ID,2022_CANONICAL_NAME,2023_VARIANTS,2024_VARIANTS,2025_VARIANTS,CURRENT_GOOGLE_ADS_NAME,STATUS
32907697,spanish - es,spanish - es,spain & latam - es - leads,"32907697 | 1. search - spain - es | 1_search.spain-latam_es",1. Search - Spain - ES,ACTIVE
239036407,dp:remarketing,dp:remarketing,04. display - remarketing,"239036407 | 2dsply-rmrktng--obs placmnts",2. Display - Remarketing (Observation + Placements),ACTIVE
1051942797,dp:smart campaign,dp:smart campaign | 04. display - smart targeting: intl-dp,04. display - smart targeting: intl-dp,-,2. Display - Smart targeting: Intl-DP,PAUSED
35203507,ireland - en - gnrl terms,"ireland - en - gnrl terms | dublin - en - gnrl terms | ireland - en - gnrl terms ""ireland/dublin""",dublin - en - gnrl terms,"35203507 | 1.search-ireland-gnrlterms ""ireland/dublin""_en | searchdublin-gnrlterms_en","1. Search - Ireland - Gnrl Terms ""Ireland/Dublin"" - EN",ACTIVE
35127547,ireland - es,ireland - es | 02. search - ireland - es,02. search - ireland - es,02. search - ireland - es | 35127547,1. Search - Ireland - ES,ACTIVE
17486528534,intrnl-discovery-leads,intrnl-discovery-leads,intrnl-discovery-leads,intrnl-discovery-leads | dgen-int-dscvry-leads,4. Demand Gen - INTRNL-Discovery-Leads,PAUSED
682598152,dp:influence,dp:influence,04. display - awareness: intl - in-market - dp,-,2. Display - In-Market - INTRNTL,PAUSED
20774719371,france - fr,france - fr | 02. search - france - fr,02. search - france - fr,-,1. Search - France - FR,PAUSED
20884739698,germany - de,german - de,german - de,-,1. Search - German - DE,PAUSED
35203687,spain - en,spanish - en,-,-,1. Search - Spain - EN,PAUSED
17440682130,irl-perfom-max,irl-perfom-max,irl-perfom-max,"17440682130 | 3pmax | 3.pmax(new)-ireland_es | irl-perfom-max",3. Perfomance Max,ACTIVE
UNKNOWN,ww:remarketing,ww:remarketing,-,-,NOT FOUND IN CURRENT CAMPAIGNS,DELETED
695837889,dublin - dynamic search,"dublin - dynamic search | 02. search - dublin - dsas - dynamic search",02. search - dublin - dsas - dynamic search,"695837889 | 02. search - dublin - dsas - dynamic search | 1_searchdublin.dynamic",1. Search - Dublin - DSAs - Dynamic Search,ACTIVE
70252567,ireland - en - exam courses,ireland - en - exam courses,ireland - en - exam courses,-,02. Search - Dublin - Exam Courses - EN,PAUSED
35127997,ireland - it,ireland - it,-,-,Ireland - IT,PAUSED
149491087,brazil - por - gnrl terms,brazil - por - gnrl terms,brazil - por - gnrl terms,149491087 | brazil - por - gnrl terms,1. Search - Brazil (POR) - Gnrl Terms,PAUSED
21010812408,performance max (new) - ireland - es,-,performance max (new) - ireland - es,"21010812408 | 3.pmax(new)-ireland_es | performance max (new) - ireland - es",3. Performance Max (New) - Ireland - ES,ACTIVE
